date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:27	38495/38495	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2011:55:00%20GMT	https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB	C:/My%20Web%20Sites/canbe/blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs6c3c.html	(from )
18:29:27	947/947	---MCZ	200	added ('OK')	text/plain	date:Tue,%2017%20May%202022%2009:10:02%20GMT	https://blogs.adb.org/robots.txt		(from )
18:29:27	5430/5430	---MCZ	200	added ('OK')	image/x-icon	date:Tue,%2017%20May%202022%2009:10:07%20GMT	https://blogs.adb.org/misc/favicon.ico	C:/My%20Web%20Sites/canbe/blogs.adb.org/misc/favicon.ico	(from https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB)
18:29:28	210947/210947	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20May%202022%2004:08:47%20GMT	https://blogs.adb.org/sites/blogs/files/17337409823_119b01e031_c.jpg	C:/My%20Web%20Sites/canbe/blogs.adb.org/sites/blogs/files/17337409823_119b01e031_c.jpg	(from https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB)
18:29:28	38582/38582	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2012:05:06%20GMT	https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs	C:/My%20Web%20Sites/canbe/blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs.html	(from https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB)
18:29:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Oct%202022%2012:59:27%20GMT	https://blogs.adb.org/node/9536	C:/My%20Web%20Sites/canbe/blogs.adb.org/node/9536	(from https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB)
18:29:29	2888/2888	---M--	200	added ('OK')	image/png	date:Tue,%2017%20May%202022%2009:10:15%20GMT	https://blogs.adb.org/sites/all/themes/blog_2019/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/canbe/blogs.adb.org/sites/all/themes/blog_2019/img/favicons/apple-touch-icon.png	(from https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB)
18:29:29	752/752	---M--	200	added ('OK')	image/png	date:Tue,%2017%20May%202022%2009:10:15%20GMT	https://blogs.adb.org/sites/all/themes/blog_2019/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/canbe/blogs.adb.org/sites/all/themes/blog_2019/img/favicons/favicon-32x32.png	(from https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB)
18:29:29	399/399	---M--	200	added ('OK')	image/png	date:Tue,%2017%20May%202022%2009:10:06%20GMT	https://blogs.adb.org/sites/all/themes/blog_2019/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/canbe/blogs.adb.org/sites/all/themes/blog_2019/img/favicons/favicon-16x16.png	(from https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB)
18:29:30	358/358	---M-Z	200	added ('OK')	application/json	date:Tue,%2017%20May%202022%2009:10:15%20GMT	https://blogs.adb.org/sites/all/themes/blog_2019/img/favicons/manifest.json	C:/My%20Web%20Sites/canbe/blogs.adb.org/sites/all/themes/blog_2019/img/favicons/manifest.json	(from https://blogs.adb.org/how-to-deliver-the-disaster-resilient-infrastructure-that-asia-needs?gclid=Cj0KCQjwwfiaBhC7ARIsAGvcPe7VtLWDTJgYsXwYbdn9DTBSecUXJgPMFrJ7ulfXjrUrl2UsLRlsmJQaApntEALw_wcB)
